tconst	characters
tt0073629	["Brad Majors - A Hero"]
tt0073629	["Dr. Frank-N-Furter - A Scientist"]
tt0073629	["Janet Weiss - A Heroine"]
tt0073629	["Riff Raff - A Handyman"]
tt0074119	["Bob Woodward"]
tt0074119	["Carl Bernstein"]
tt0074119	["Harry Rosenfeld"]
tt0074119	["Howard Simons"]
tt0074285	["Billy Nolan"]
tt0074285	["Carrie"]
tt0074285	["Margaret White"]
tt0074285	["Sue Snell"]
tt0074486	["Henry Spencer"]
tt0074486	["Mary X"]
tt0074486	["Mr. X"]
tt0074486	["Mrs. X"]
tt0074958	["Diana Christensen"]
tt0074958	["Frank Hackett"]
tt0074958	["Howard Beale"]
tt0074958	["Max Schumacher"]
tt0075005	["Damien"]
tt0075005	["Jennings"]
tt0075005	["Katherine Thorn"]
tt0075005	["Robert Thorn"]
tt0075148	["Adrian"]
tt0075148	["Apollo"]
tt0075148	["Paulie"]
tt0075148	["Rocky"]
tt0075314	["Betsy"]
tt0075314	["Iris"]
tt0075314	["Tom"]
tt0075314	["Travis Bickle"]
tt0075686	["Allison"]
tt0075686	["Alvy Singer"]
tt0075686	["Annie Hall","voice of Evil Queen"]
tt0075686	["Rob"]
tt0075860	["Claude Lacombe"]
tt0075860	["Jillian Guiler"]
tt0075860	["Ronnie Neary"]
tt0075860	["Roy Neary"]
tt0076759	["Ben Obi-Wan Kenobi"]
tt0076759	["Han Solo"]
tt0076759	["Luke Skywalker"]
tt0076759	["Princess Leia Organa"]
tt0076786	["Daniel"]
tt0076786	["Mark"]
tt0076786	["Sara"]
tt0076786	["Suzy Bannion"]
tt0077402	["Francine"]
tt0077402	["Peter"]
tt0077402	["Roger"]
tt0077402	["Stephen"]
tt0077416	["Michael"]
tt0077416	["Nick"]
tt0077416	["Stan"]
tt0077416	["Steven"]
tt0077631	["Danny"]
tt0077631	["Kenickie"]
tt0077631	["Rizzo"]
tt0077631	["Sandy"]
tt0077651	["Annie"]
tt0077651	["Laurie"]
tt0077651	["Loomis"]
tt0077651	["Michael Myers (Age 23)"]
tt0077975	["John Blutarsky"]
tt0077975	["Katy"]
tt0077975	["Kent Dorfman"]
tt0077975	["Larry Kroger"]
tt0078346	["Jor-El"]
tt0078346	["Lex Luthor"]
tt0078346	["Lois Lane"]
tt0078346	["Superman","Clark Kent"]
tt0078748	["Dallas"]
tt0078748	["Kane"]
tt0078748	["Lambert"]
tt0078748	["Ripley"]
tt0078788	["Capt. Benjamin L. Willard"]
tt0078788	["Col. Walter E. Kurtz"]
tt0078788	["EN3 Jay 'Chef' Hicks"]
tt0078788	["Lt. Col. Bill Kilgore"]
tt0079116	["Chester 'Doc' Dalton"]
tt0079116	["Clarence Anglin"]
tt0079116	["Frank Morris"]
tt0079116	["Warden Arthur Dollison"]
tt0079417	["Billy Kramer"]
tt0079417	["Joanna Kramer"]
tt0079417	["Margaret Phelps"]
tt0079417	["Ted Kramer"]
tt0079470	["Man Even Further Forward","Revolutionary","Jailer"]
tt0079470	["Wise Man #1","Reg","Jewish Official"]
tt0079470	["Wise Man #2","Brian Cohen","Biggus Dickus"]
tt0079470	["Wise Man #3","Mr. Big Nose","Francis"]
tt0079522	["Isaac"]
tt0079522	["Mary"]
tt0079522	["Tracy"]
tt0079522	["Yale"]
tt0079817	["Adrian"]
tt0079817	["Apollo Creed"]
tt0079817	["Paulie"]
tt0079817	["Rocky Balboa"]
tt0079944	["Pisatel"]
tt0079944	["Professor"]
tt0079944	["Stalker"]
tt0079944	["Zhena Stalkera"]
tt0080120	["Ajax"]
tt0080120	["Cleon"]
tt0080120	["Snow"]
tt0080120	["Swan"]
tt0080339	["Dr. Rumack"]
tt0080339	["Elaine Dickinson"]
tt0080339	["Roger Murdock"]
tt0080339	["Ted Striker"]
tt0080455	["Burton Mercer"]
tt0080455	["Curtis"]
tt0080455	["Elwood"]
tt0080455	["Joliet Jake"]
tt0080487	["Al Czervik"]
tt0080487	["Carl Spackler"]
tt0080487	["Judge Elihu Smails"]
tt0080487	["Ty Webb"]
tt0080678	["Carr Gomm"]
tt0080678	["Dr. Frederick Treves"]
tt0080678	["John Merrick"]
tt0080678	["Mrs. Kendal"]
tt0080684	["Han Solo"]
tt0080684	["Lando Calrissian"]
tt0080684	["Luke Skywalker"]
tt0080684	["Princess Leia"]
tt0081398	["Jake La Motta"]
tt0081398	["Joey"]
tt0081398	["Salvy"]
tt0081398	["Vickie La Motta"]
tt0081505	["Danny"]
tt0081505	["Hallorann"]
tt0081505	["Jack Torrance"]
tt0081505	["Wendy Torrance"]
tt0082010	["David Kessler"]
tt0082010	["Jack Goodman"]
tt0082010	["Nurse Alex Price"]
tt0082010	["Truck Driver"]
tt0082096	["1st Lieutenant - Number One-1WO"]
tt0082096	["Capt.-Lt. Henrich Lehmann-Willenbrock - Der Alte"]
tt0082096	["Chief Engineer Fritz Grade - Der Leitende-Der LI"]
tt0082096	["Lt. Werner - Correspondent"]
tt0082340	["Cabbie"]
tt0082340	["Hauk"]
tt0082340	["President"]
tt0082340	["Snake Plissken"]
tt0082406	["Amos Slade"]
tt0082406	["Big Mama"]
tt0082406	["Copper"]
tt0082406	["Tod"]
tt0082694	["Max"]
tt0082694	["Pappagallo"]
tt0082694	["The Gyro Captain"]
tt0082694	["The Toadie"]
tt0082971	["Belloq"]
tt0082971	["Indy"]
tt0082971	["Marion"]
tt0082971	["Sallah"]
tt0083658	["Batty"]
tt0083658	["Deckard"]
tt0083658	["Gaff"]
tt0083658	["Rachael"]
tt0083866	["Elliott"]
tt0083866	["Gertie"]
tt0083866	["Keys"]
tt0083866	["Mary"]
tt0083907	["Ashley 'Ash' J. Williams"]
tt0083907	["Cheryl"]
tt0083907	["Linda"]
tt0083907	["Scott"]
tt0083929	["Brad Hamilton"]
tt0083929	["Jeff Spicoli"]
tt0083929	["Mike Damone"]
tt0083929	["Stacy Hamilton"]
tt0083944	["Kern"]
tt0083944	["Rambo"]
tt0083944	["Teasle"]
tt0083944	["Trautman"]
tt0083987	["Kasturba Gandhi"]
tt0083987	["Lord Irwin"]
tt0083987	["Mahatma Gandhi"]
tt0083987	["Pandit Nehru"]
tt0084516	["Carol Anne Freeling"]
tt0084516	["Diane Freeling"]
tt0084516	["Dr. Lesh"]
tt0084516	["Steve Freeling"]
tt0084726	["Kirk"]
tt0084726	["McCoy"]
tt0084726	["Scotty"]
tt0084726	["Spock"]
tt0084787	["Blair"]
tt0084787	["Childs"]
tt0084787	["Clark"]
tt0084787	["MacReady"]
tt0084805	["Julie Nichols"]
tt0084805	["Michael Dorsey","Dorothy Michaels"]
tt0084805	["Ron Carlisle"]
tt0084805	["Sandy Lester"]
tt0085334	["Flick"]
tt0085334	["Mother Parker"]
tt0085334	["Ralphie Parker"]
tt0085334	["The Old Man Parker"]
tt0085794	["Jerry Langford"]
tt0085794	["Masha"]
tt0085794	["Rita Keane"]
tt0085794	["Rupert Pupkin"]
tt0085959	["Bert","Fish #6","Mum"]
tt0085959	["Fish #2","Dr. Spencer","Humphrey Williams"]
tt0085959	["Gunther","Fish #3","'Meaning of Life' Singer"]
tt0085959	["Window Washer","Fish #4","Walters"]
tt0085995	["Aunt Edna"]
tt0085995	["Clark Griswold"]
tt0085995	["Cousin Eddie"]
tt0085995	["Ellen Griswold"]
tt0086190	["Han Solo"]
tt0086190	["Lando Calrissian"]
tt0086190	["Luke Skywalker"]
tt0086190	["Princess Leia"]
tt0086250	["Elvira Hancock"]
tt0086250	["Gina Montana"]
tt0086250	["Manny Ribera"]
tt0086250	["Tony Montana"]
tt0086465	["Billy Ray Valentine"]
tt0086465	["Louis Winthorpe III"]
tt0086465	["Mortimer Duke"]
tt0086465	["Randolph Duke"]
tt0086541	["Bianca O'Blivion"]
tt0086541	["Harlan"]
tt0086541	["Max Renn"]
tt0086541	["Nicki Brand"]
tt0086567	["David"]
tt0086567	["Falken"]
tt0086567	["Jennifer"]
tt0086567	["McKittrick"]
tt0086879	["Antonio Salieri"]
tt0086879	["Constanze Mozart"]
tt0086879	["Leopold Mozart"]
tt0086879	["Wolfgang Amadeus Mozart"]
tt0086960	["Axel Foley"]
tt0086960	["Det. Billy Rosewood"]
tt0086960	["Jenny Summers"]
tt0086960	["Sgt. Taggart"]
tt0086979	["Abby"]
tt0086979	["Julian Marty"]
tt0086979	["Private Detective Loren Visser"]
tt0086979	["Ray"]
tt0087332	["Dana Barrett"]
tt0087332	["Dr. Egon Spengler"]
tt0087332	["Dr. Peter Venkman"]
tt0087332	["Dr. Raymond Stantz"]
tt0087363	["Billy"]
tt0087363	["Chinese Boy"]
tt0087363	["Kate"]
tt0087363	["Randall Peltzer"]
tt0087469	["Indiana Jones"]
tt0087469	["Mola Ram"]
tt0087469	["Short Round"]
tt0087469	["Willie Scott"]
tt0087538	["Ali"]
tt0087538	["Daniel"]
tt0087538	["Kreese"]
tt0087538	["Miyagi"]
tt0087544	["Jihl","Muzu"]
tt0087544	["Nausicaä"]
tt0087544	["Oh-Baba"]
tt0087544	["Yupa"]
tt0087800	["Fred Krueger"]
tt0087800	["Glen Lantz"]
tt0087800	["Lt. Thompson"]
tt0087800	["Nancy Thompson"]
tt0087843	["Deborah"]
tt0087843	["Jimmy O'Donnell"]
tt0087843	["Max"]
tt0087843	["Noodles"]
tt0087884	["Gas Station Attendant"]
tt0087884	["Jane Henderson"]
tt0087884	["Travis Henderson"]
tt0087884	["Walt Henderson"]
tt0088247	["Kyle Reese"]
tt0088247	["Sarah Connor"]
tt0088247	["Terminator"]
tt0088247	["Traxler"]
tt0088258	["David St. Hubbins"]
tt0088258	["Heavy Metal Fan"]
tt0088258	["Marty DiBergi"]
tt0088258	["Nigel Tufnel"]
tt0088323	["Atreyu"]
tt0088323	["Bastian"]
tt0088323	["Bastian's Father"]
tt0088323	["The Childlike Empress"]
tt0088763	["Dr. Emmett Brown"]
tt0088763	["George McFly"]
tt0088763	["Lorraine Baines"]
tt0088763	["Marty McFly"]
tt0088846	["Harry Tuttle"]
tt0088846	["Jill Layton"]
tt0088846	["Mrs. Ida Lowry"]
tt0088846	["Sam Lowry"]
tt0088847	["Allison Reynolds"]
tt0088847	["Andrew Clark"]
tt0088847	["Claire Standish"]
tt0088847	["John Bender"]
tt0088930	["Mrs. Peacock"]
tt0088930	["Mrs. White"]
tt0088930	["Professor Plum"]
tt0088930	["Wadsworth"]
tt0089218	["Brand"]
tt0089218	["Chunk"]
tt0089218	["Mikey"]
tt0089218	["Mouth"]
tt0089881	["Jiro Masatora Ichimonji"]
tt0089881	["Lord Hidetora Ichimonji"]
tt0089881	["Saburo Naotora Ichimonji"]
tt0089881	["Taro Takatora Ichimonji"]
tt0090329	["John Book"]
tt0090329	["Rachel"]
tt0090329	["Samuel"]
tt0090329	["Schaeffer"]
tt0090605	["Burke"]
tt0090605	["Corporal Hicks"]
tt0090605	["Newt"]
tt0090605	["Ripley"]
tt0090728	["David Lo Pan"]
tt0090728	["Gracie Law"]
tt0090728	["Jack Burton"]
tt0090728	["Wang Chi"]
tt0090756	["Dorothy Vallens"]
tt0090756	["Frank Booth"]
tt0090756	["Jeffrey Beaumont"]
tt0090756	["Sandy Williams"]
tt0091042	["Cameron Frye"]
tt0091042	["Ed Rooney"]
tt0091042	["Ferris Bueller"]
tt0091042	["Sloane Peterson"]
tt0091064	["Seth Brundle"]
tt0091064	["Stathis Borans"]
tt0091064	["Tawny"]
tt0091064	["Veronica Quaife"]
tt0091369	["Jareth"]
tt0091369	["Sarah"]
tt0091369	["Stepmother"]
tt0091369	["Toby"]
tt0091605	["Adso of Melk"]
tt0091605	["Remigio de Varagine"]
tt0091605	["Severinus"]
tt0091605	["William of Baskerville"]
tt0091763	["Chris"]
tt0091763	["King"]
tt0091763	["Sgt. Barnes"]
tt0091763	["Sgt. Elias"]
tt0092005	["Chris Chambers"]
tt0092005	["Gordie Lachance"]
tt0092005	["Teddy Duchamp"]
tt0092005	["Vern Tessio"]
tt0092067	["Dola"]
tt0092067	["Muska"]
tt0092067	["Pazu"]
tt0092067	["Sheeta"]
tt0092400	["Al Bundy","Al's Father","Captain Courage"]
tt0092400	["Al Bundy","Al's Father"]
tt0092400	["Al Bundy","Captain Courage"]
tt0092400	["Al Bundy","Seamus McBundy"]
tt0092400	["Al Bundy"]
tt0092400	["Buck the Dog","Long John Buck"]
tt0092400	["Bud Bundy","Cool Bud","Fluvio the Handsome"]
tt0092400	["Bud Bundy"]
tt0092400	["Jefferson D'Arcy","Norman Jablonsky","Prince Paco"]
tt0092400	["Kelly Bundy","Self","Ship's Navigator"]
tt0092400	["Kelly Bundy","Ship's Navigator"]
tt0092400	["Kelly Bundy"]
tt0092400	["Luke Ventura"]
tt0092400	["Marcy D'Arcy","Cabin Boy-Girl"]
tt0092400	["Marcy D'Arcy","Mandy"]
tt0092400	["Marcy D'Arcy","Marcy Rhoades","Marcy Rhoades D'Arcy"]
tt0092400	["Marcy D'Arcy"]
tt0092400	["Marcy Rhoades D'Arcy"]
tt0092400	["Marcy Rhoades"]
tt0092400	["Peggy Bundy","Princess Scarlett","Self"]
tt0092400	["Peggy Bundy","Princess Scarlett"]
tt0092400	["Peggy Bundy","The Grim Reaper"]
tt0092400	["Peggy Bundy"]
tt0092400	["Steve Rhoades","Rubio the Cruel"]
tt0092400	["Steve Rhoades"]
tt0092455	["Adm. Alynna Nechayev"]
tt0092455	["Albert Einstein"]
tt0092455	["Captain Jean-Luc Picard","Locutus of Borg","Michael Williams"]
tt0092455	["Captain Jean-Luc Picard","Locutus of Borg"]
tt0092455	["Captain Jean-Luc Picard","Michael Williams"]
tt0092455	["Captain Jean-Luc Picard"]
tt0092455	["Commander William Thomas 'Will' Riker","Lieutenant Thomas Riker"]
tt0092455	["Commander William Thomas 'Will' Riker"]
tt0092455	["Counselor Deanna Troi"]
tt0092455	["Crosis"]
tt0092455	["Doctor Beverly Crusher","Dr. Beverly Crusher"]
tt0092455	["Enterprise Computer","Lwaxana Troi","Narrator"]
tt0092455	["Isaac Newton"]
tt0092455	["Lieutenant Commander Data","Lore","Dr. Noonien Soong"]
tt0092455	["Lieutenant Commander Geordi La Forge","Lieutenant Geordi La Forge"]
tt0092455	["Lieutenant Commander Geordi La Forge"]
tt0092455	["Lieutenant Geordi La Forge"]
tt0092455	["Lieutenant Natasha 'Tasha' Yar"]
tt0092455	["Lieutenant Worf","Commander Worf","Risa Tourist"]
tt0092455	["Lieutenant Worf","Commander Worf"]
tt0092455	["Lieutenant Worf","Risa Tourist"]
tt0092455	["Lieutenant Worf"]
tt0092455	["Wesley Crusher","Acting Ensign Wesley Crusher","Ensign Wesley Crusher"]
tt0092965	["Basie"]
tt0092965	["Dr. Rawlins"]
tt0092965	["Jim"]
tt0092965	["Mrs. Victor"]
tt0092991	["Annie Knowby"]
tt0092991	["Ashley 'Ash' J. Williams"]
tt0092991	["Bobby Joe"]
tt0092991	["Jake"]
tt0093058	["Animal Mother"]
tt0093058	["Gny. Sgt. Hartman"]
tt0093058	["Pvt. Joker"]
tt0093058	["Pvt. Pyle"]
tt0093105	["Adrian Cronauer"]
tt0093105	["Edward Garlick"]
tt0093105	["Trinh"]
tt0093105	["Tuan"]
tt0093389	["Pu Yi (Adult)"]
tt0093389	["Reginald Johnston (R.J.)"]
tt0093389	["The Governor"]
tt0093389	["Wan Jung"]
tt0093409	["Joshua"]
tt0093409	["Martin Riggs"]
tt0093409	["Roger Murtaugh"]
tt0093409	["The General"]
tt0093437	["Grandpa"]
tt0093437	["Lucy"]
tt0093437	["Michael"]
tt0093437	["Sam"]
tt0093748	["Del Griffith"]
tt0093748	["Neal Page"]
tt0093748	["State Trooper"]
tt0093748	["Susan Page"]
tt0093773	["Anna"]
tt0093773	["Dillon"]
tt0093773	["Dutch"]
tt0093773	["The Predator","Helicopter Pilot"]
tt0093779	["Iñigo Montoya"]
tt0093779	["Prince Humperdinck"]
tt0093779	["The Princess Bride"]
tt0093779	["Westley"]
tt0093822	["Ed"]
tt0093822	["Gale"]
tt0093822	["H.I. McDunnough"]
tt0093822	["Nathan Arizona, Sr."]
tt0093870	["Alex Murphy","RoboCop"]
tt0093870	["Anne Lewis"]
tt0093870	["Dick Jones"]
tt0093870	["The Old Man"]
tt0094012	["Barf"]
tt0094012	["Dark Helmet"]
tt0094012	["Lone Starr"]
tt0094012	["President Skroob","Yogurt"]
tt0094226	["Al Capone"]
tt0094226	["Eliot Ness"]
tt0094226	["Jim Malone"]
tt0094226	["Oscar Wallace"]
tt0094291	["Bud Fox"]
tt0094291	["Carolyn"]
tt0094291	["Dan"]
tt0094291	["Gordon Gekko"]
tt0094625	["Kei"]
tt0094625	["Ryû"]
tt0094625	["Shôtarô Kaneda"]
tt0094625	["Tetsuo Shima"]
tt0094721	["Adam"]
tt0094721	["Barbara"]
tt0094721	["Betelgeuse"]
tt0094721	["Jane Butterfield"]
tt0094737	["Josh"]
tt0094737	["MacMillan"]
tt0094737	["Paul"]
tt0094737	["Susan"]
tt0094898	["Oha"]
tt0094898	["Prince Akeem","Clarence","Saul"]
tt0094898	["Rose Bearer"]
tt0095016	["Hans Gruber"]
tt0095016	["Holly Gennaro McClane"]
tt0095016	["John McClane"]
tt0095016	["Sgt. Al Powell"]
tt0095159	["Archie"]
tt0095159	["Ken"]
tt0095159	["Otto"]
tt0095159	["Wanda"]
tt0095327	["Aunt"]
tt0095327	["Mother"]
tt0095327	["Seita"]
tt0095327	["Setsuko"]
tt0095647	["Agent Alan Ward"]
tt0095647	["Agent Rupert Anderson"]
tt0095647	["Deputy Clinton Pell"]
tt0095647	["Mrs. Pell"]
tt0095705	["Det. Nordberg"]
tt0095705	["Jane Spencer"]
tt0095705	["Lt. Frank Drebin"]
tt0095705	["Vincent Ludwig"]
tt0095765	["Alfredo"]
tt0095765	["Anna"]
tt0095765	["Maria Di Vita - Younger"]
tt0095765	["Spaccafico"]
tt0095953	["Charlie Babbitt"]
tt0095953	["Dr. Bruner"]
tt0095953	["Raymond Babbitt"]
tt0095953	["Susanna"]
tt0096256	["Drifter"]
tt0096256	["Frank"]
tt0096256	["Holly"]
tt0096256	["Nada"]
tt0096283	["Mei"]
tt0096283	["Satsuki"]
tt0096283	["Tatsuo Kusakabe"]
tt0096283	["Totoro"]
tt0096438	["Dolores"]
tt0096438	["Eddie Valiant"]
tt0096438	["Judge Doom"]
tt0096438	["Roger Rabbit","Benny the Cab","Greasy"]
tt0096446	["Madmartigan"]
tt0096446	["Queen Bavmorda"]
tt0096446	["Sorsha"]
tt0096446	["Willow"]
tt0096657	["ACF Drill Instructor"]
tt0096657	["Angry Teacher with Boy"]
tt0096657	["Art Teacher"]
tt0096657	["Baby's Mother","Mother"]
tt0096657	["Baby's Mother"]
tt0096657	["Barber"]
tt0096657	["Bumper Cars Attendant"]
tt0096657	["Colonel"]
tt0096657	["Department Store Client"]
tt0096657	["Derek"]
tt0096657	["Golf Attendant"]
tt0096657	["Guardsman","Police Officer"]
tt0096657	["Harrods Store Manager"]
tt0096657	["Hotel Guest"]
tt0096657	["Hotel Manager"]
tt0096657	["Hotel Porter","Young Man with Candy Apple"]
tt0096657	["Hotel Porter"]
tt0096657	["Hubert"]
tt0096657	["Irma Gobb"]
tt0096657	["Man Buying Ride Tokens","The Cinema Manager","The Police Sergeant"]
tt0096657	["Man in Booth"]
tt0096657	["Man in Laundry Room"]
tt0096657	["Mr. Bean"]
tt0096657	["Rupert"]
tt0096657	["Santa Outside Harrods"]
tt0096657	["The Blind Man","The Heart Attack Man"]
tt0096657	["The Blind Man"]
tt0096657	["The Busker"]
tt0096657	["The Camera Thief","The Ticket Inspector"]
tt0096657	["The Camera Thief"]
tt0096657	["The Checkout Manager"]
tt0096657	["The Customer"]
tt0096657	["The Dentist"]
tt0096657	["The Girlfriend","Irma Gobb","The Waitress"]
tt0096657	["The Girlfriend"]
tt0096657	["The Heart Attack Man"]
tt0096657	["The Invigilator"]
tt0096657	["The Lady with Letter"]
tt0096657	["The Police Sergeant"]
tt0096657	["The Pool Attendant","Man on Park Bench"]
tt0096657	["The Postman"]
tt0096657	["The Schoolboy"]
tt0096657	["The Shoe Salesman"]
tt0096657	["The Student"]
tt0096657	["The Traffic Warden"]
tt0096657	["Woman in Laundry Room"]
tt0096697	["Apple","Lisa Simpson"]
tt0096697	["Bank Security Guard #1","Chief Wiggum","Lou"]
tt0096697	["Barney Gumble","Homer Simpson","Groundskeeper Willie"]
tt0096697	["Bart Simpson","Additional Voices"]
tt0096697	["Bart Simpson","Admiral Baby"]
tt0096697	["Bart Simpson","Ashley Grant Actress"]
tt0096697	["Bart Simpson","Audio Ladies","Imaginary Cigarette Lady"]
tt0096697	["Bart Simpson","Auditioning Woman #2","Auditioning Woman #3"]
tt0096697	["Bart Simpson","Baby Jesus","Cyrus' Wives"]
tt0096697	["Bart Simpson","Baby at Park","Todd Flanders"]
tt0096697	["Bart Simpson","Bart Cactus"]
tt0096697	["Bart Simpson","Bart's Elder Son","Bart's Younger Son"]
tt0096697	["Bart Simpson","Barticelli","King Francis I"]
tt0096697	["Bart Simpson","Bartigula","Nelson Muntz"]
tt0096697	["Bart Simpson","Billionaire Explainer","Nelson Muntz"]
tt0096697	["Bart Simpson","Boy #1"]
tt0096697	["Bart Simpson","Boy Scout","Nelson Muntz"]
tt0096697	["Bart Simpson","Boy in Film","Kearney"]
tt0096697	["Bart Simpson","Bride","Nelson Muntz"]
tt0096697	["Bart Simpson","British Woman","Germs"]
tt0096697	["Bart Simpson","Bubbles"]
tt0096697	["Bart Simpson","Car Model","Nelson Muntz"]
tt0096697	["Bart Simpson","Charlotte"]
tt0096697	["Bart Simpson","Child #2"]
tt0096697	["Bart Simpson","Child #3","Child #5"]
tt0096697	["Bart Simpson","Child in Action-Figure Man","Todd Flanders"]
tt0096697	["Bart Simpson","Child"]
tt0096697	["Bart Simpson","Chin-Ho","Todd Flanders"]
tt0096697	["Bart Simpson","Chuck","Ralph Wiggum"]
tt0096697	["Bart Simpson","Corduroy","Ralph Wiggum"]
tt0096697	["Bart Simpson","Database","Kearney"]
tt0096697	["Bart Simpson","Database","Nelson Muntz"]
tt0096697	["Bart Simpson","Database","Ralph Wiggum"]
tt0096697	["Bart Simpson","Database"]
tt0096697	["Bart Simpson","Dil","Nelson Muntz"]
tt0096697	["Bart Simpson","Ex-Wife #2"]
tt0096697	["Bart Simpson","Female Scientist","Nelson Muntz"]
tt0096697	["Bart Simpson","Gavin","Nelson Muntz"]
tt0096697	["Bart Simpson","Genital Snurfs"]
tt0096697	["Bart Simpson","Gerald's Mother"]
tt0096697	["Bart Simpson","Girl","Homer's Date"]
tt0096697	["Bart Simpson","Girl","Nelson Muntz"]
tt0096697	["Bart Simpson","Glee Club Singers"]
tt0096697	["Bart Simpson","Homer's cousin's son"]
tt0096697	["Bart Simpson","Hospital Tannoy"]
tt0096697	["Bart Simpson","Hugo"]
tt0096697	["Bart Simpson","Irish Nelson"]
tt0096697	["Bart Simpson","Jacqueline","Krusty's Assistant"]
tt0096697	["Bart Simpson","Jill Munroe","Angry Tourist's Son"]
tt0096697	["Bart Simpson","Juror","Child Crowd"]
tt0096697	["Bart Simpson","Kearney Zzyzwicz","Nelson Muntz"]
tt0096697	["Bart Simpson","Kearney Zzyzwicz","Ralph Wiggum"]
tt0096697	["Bart Simpson","Kearney Zzyzwicz"]
tt0096697	["Bart Simpson","Kearney","'He's white!'"]
tt0096697	["Bart Simpson","Kearney","Dancing Girl #3"]
tt0096697	["Bart Simpson","Kearney","Elmo"]
tt0096697	["Bart Simpson","Kearney","Girlfriend in Movie"]
tt0096697	["Bart Simpson","Kearney","Maggie Simpson"]
tt0096697	["Bart Simpson","Kearney","Nelson Muntz"]
tt0096697	["Bart Simpson","Kearney","Others"]
tt0096697	["Bart Simpson","Kearney","Ralph Wiggum"]
tt0096697	["Bart Simpson","Kearney","Ralph"]
tt0096697	["Bart Simpson","Kearney","Todd Flanders"]
tt0096697	["Bart Simpson","Kearney"]
tt0096697	["Bart Simpson","Kent Brockman's Daughter"]
tt0096697	["Bart Simpson","Kid #1 in 'Soccer Mummy'","Maggie Simpson"]
tt0096697	["Bart Simpson","Kid in Horror Movie","Ralph Wiggum"]
tt0096697	["Bart Simpson","Kid on Ride","Ralph Wiggum"]
tt0096697	["Bart Simpson","Lester"]
tt0096697	["Bart Simpson","Lewis","Actor"]
tt0096697	["Bart Simpson","Lewis","American Exchange Student"]
tt0096697	["Bart Simpson","Lewis","Ralph Wiggum"]
tt0096697	["Bart Simpson","Lewis"]
tt0096697	["Bart Simpson","Ling Bouvier"]
tt0096697	["Bart Simpson","Lisa's Student #3"]
tt0096697	["Bart Simpson","Maggie Simpson","Appreciative Nurse #2"]
tt0096697	["Bart Simpson","Maggie Simpson","Baby"]
tt0096697	["Bart Simpson","Maggie Simpson","Database"]
tt0096697	["Bart Simpson","Maggie Simpson","Girl on Bus"]
tt0096697	["Bart Simpson","Maggie Simpson","Nelson Muntz"]
tt0096697	["Bart Simpson","Maggie Simpson","Ralph Wiggum"]
tt0096697	["Bart Simpson","Maggie Simpson","Todd Flanders"]
tt0096697	["Bart Simpson","Maggie Simpson","Woman #1"]
tt0096697	["Bart Simpson","Maggie Simpson"]
tt0096697	["Bart Simpson","Malibu Stacy","Kent Brockman's Daughter"]
